X,Y
0.00000,2886.000
0.07206,2948.895
0.14413,3132.983
0.21619,3407.481
0.28825,3514.111
0.36032,3596.127
0.43238,3788.782
0.50444,3798.718
0.57651,3749.548
0.64857,3751.166
0.72063,3611.510
0.79270,3627.459
0.86476,3711.030
0.93683,3939.391
1.00889,4144.705
1.08095,4143.517
1.15302,4163.274
1.22508,4274.863
1.29714,4392.502
1.36921,4342.964
1.44127,4365.849
1.51333,4367.490
1.58540,4403.405
1.65746,4393.174
1.72952,4589.209
1.80159,4809.787
1.87365,4785.296
1.94571,4808.039
2.01778,4994.391
2.08984,5098.297
2.16190,5230.982
2.23397,5129.252
2.30603,5347.179
2.37810,5444.115
2.45016,5566.355
2.52222,5848.551
2.59429,6410.036
2.66635,6681.511
2.73841,6721.199
2.81048,6677.289
2.88254,6331.242
2.95460,5986.347
3.02667,5734.461
3.09873,5532.870
3.17079,5269.977
3.24286,5121.494
3.31492,5033.393
3.38698,4841.353
3.45905,4768.964
3.53111,4516.653
3.60317,4155.198
3.67524,3829.752
3.74730,3480.916
3.81937,3314.002
3.89143,3340.577
3.96349,3367.397
4.03556,3302.008
4.10762,3168.902
