X,Y
0.00000,3949.000
0.07206,4369.706
0.14413,4640.527
0.21619,4625.212
0.28825,4630.138
0.36032,4774.410
0.43238,4898.257
0.50444,4914.305
0.57651,5065.212
0.64857,4915.082
0.72063,4973.939
0.79270,4815.981
0.86476,4632.249
0.93683,4640.218
1.00889,4658.917
1.08095,4674.278
1.15302,5096.516
1.22508,5166.793
1.29714,5133.953
1.36921,5320.437
1.44127,5357.340
1.51333,5498.529
1.58540,5509.762
1.65746,5444.285
1.72952,5440.071
1.80159,5441.530
1.87365,5358.645
1.94571,5352.368
2.01778,5674.045
2.08984,5841.217
2.16190,5929.262
2.23397,5904.500
2.30603,5748.854
2.37810,5726.056
2.45016,5903.620
2.52222,5566.500
2.59429,5460.950
2.66635,5030.040
2.73841,4962.920
2.81048,4882.340
2.88254,5016.060
