X,Y
0.00000,1234.000
0.07206,1318.070
0.14413,1486.367
0.21619,1529.993
0.28825,1735.493
0.36032,1689.415
0.43238,1712.890
0.50444,1570.688
0.57651,1670.226
0.64857,1719.252
0.72063,1773.493
0.79270,1795.919
0.86476,1902.266
0.93683,1872.160
1.00889,1846.561
1.08095,1969.962
1.15302,2023.444
1.22508,2047.168
1.29714,2092.702
1.36921,2174.266
1.44127,2153.454
1.51333,2131.896
1.58540,2146.206
1.65746,2118.615
1.72952,2132.517
1.80159,2288.405
1.87365,2324.921
1.94571,2459.036
2.01778,2448.879
2.08984,2508.625
2.16190,2523.663
2.23397,2430.894
2.30603,2382.768
2.37810,2395.219
