X,Y
0.00000,1345.000
0.07206,1445.437
0.14413,1529.375
0.21619,1679.609
0.28825,1877.733
0.36032,1979.102
0.43238,2075.412
0.50444,2227.878
0.57651,2386.933
0.64857,2351.414
0.72063,2451.935
0.79270,2546.631
0.86476,2609.572
0.93683,2725.101
1.00889,2872.802
1.08095,2932.393
1.15302,3055.747
1.22508,3171.487
1.29714,3219.041
1.36921,3266.211
1.44127,3271.585
1.51333,3256.625
1.58540,3303.788
1.65746,3383.497
1.72952,3379.271
1.80159,3400.878
1.87365,3578.515
1.94571,3497.810
2.01778,3285.317
2.08984,3112.392
2.16190,3013.523
2.23397,2978.997
2.30603,2951.861
2.37810,2925.779
2.45016,2893.146
2.52222,2751.477
2.59429,2660.541
2.66635,2606.625
2.73841,2613.673
2.81048,2516.805
2.88254,2428.285
2.95460,2263.889
