X,Y
0.00000,2953.000
0.07206,3474.812
0.14413,4032.354
0.21619,4480.365
0.28825,4611.335
0.36032,4609.364
0.43238,4687.205
0.50444,4756.036
0.57651,4848.694
0.64857,5145.717
0.72063,5338.019
0.79270,5483.366
0.86476,5630.404
0.93683,5865.253
1.00889,6237.157
1.08095,6241.938
1.15302,6431.298
1.22508,6649.160
1.29714,6674.575
1.36921,6648.307
1.44127,6597.355
1.51333,6745.913
1.58540,6789.279
1.65746,6668.998
1.72952,6609.764
1.80159,6609.654
1.87365,6617.500
1.94571,6733.189
2.01778,6932.069
2.08984,7039.938
2.16190,7271.301
2.23397,6959.325
2.30603,6625.921
2.37810,6517.312
2.45016,6245.562
2.52222,6162.341
