X,Y
0.00000,1334.000
0.07206,1426.119
0.14413,1435.358
0.21619,1576.138
0.28825,1580.880
0.36032,1540.904
0.43238,1536.484
0.50444,1546.533
0.57651,1608.748
0.64857,1682.458
0.72063,1695.168
0.79270,1789.405
0.86476,1835.747
0.93683,1760.800
1.00889,1837.720
1.08095,1851.040
1.15302,1823.840
1.22508,1802.400
1.29714,1817.560
1.36921,1781.360
1.44127,1777.000
1.51333,1781.800
1.58540,1763.320
1.65746,1856.560
1.72952,1867.160
1.80159,1867.824
1.87365,1826.599
1.94571,1855.313
2.01778,1792.511
2.08984,1733.811
2.16190,1747.313
2.23397,1664.547
2.30603,1690.429
2.37810,1560.874
2.45016,1483.283
2.52222,1510.214
2.59429,1450.263
