X,Y
0.00000,1346.000
0.07206,1403.352
0.14413,1403.465
0.21619,1353.908
0.28825,1399.343
0.36032,1552.000
0.43238,1524.862
0.50444,1564.378
0.57651,1670.648
0.64857,1757.312
0.72063,1953.444
0.79270,2014.622
0.86476,1939.984
0.93683,2071.526
1.00889,2171.791
1.08095,2238.112
1.15302,2336.571
1.22508,2435.515
1.29714,2610.217
1.36921,2555.632
1.44127,2637.073
1.51333,2625.729
1.58540,2622.699
1.65746,2519.238
1.72952,2336.883
1.80159,2303.759
1.87365,2236.021
1.94571,2266.693
2.01778,2393.124
2.08984,2563.679
2.16190,2661.361
2.23397,2797.795
2.30603,2646.792
2.37810,2557.246
2.45016,2694.766
2.52222,2347.169
2.59429,2258.548
2.66635,2274.226
2.73841,2269.017
2.81048,2370.400
2.88254,2459.135
2.95460,2543.171
3.02667,2530.932
3.09873,2541.978
3.17079,2582.000
3.24286,2465.559
3.31492,2528.123
3.38698,2574.611
3.45905,2515.289
3.53111,2365.399
3.60317,2394.398
