X,Y
0.00000,2705.000
0.07206,2843.961
0.14413,3111.223
0.21619,3312.580
0.28825,3384.521
0.36032,3491.005
0.43238,3402.985
0.50444,3379.589
0.57651,3499.433
0.64857,3755.305
0.72063,3809.339
0.79270,4045.603
0.86476,4321.782
0.93683,4362.561
1.00889,4273.161
1.08095,4275.228
1.15302,4199.286
1.22508,4135.384
1.29714,3899.675
1.36921,4203.839
1.44127,4246.191
1.51333,4285.999
1.58540,4197.763
1.65746,4135.842
1.72952,3731.057
1.80159,3620.753
1.87365,3517.800
1.94571,3507.830
2.01778,3677.148
2.08984,3509.294
2.16190,3516.425
2.23397,3419.105
2.30603,3373.467
2.37810,3495.136
2.45016,3416.911
2.52222,3456.255
2.59429,3422.284
2.66635,3520.730
2.73841,3694.906
2.81048,3922.839
2.88254,4040.087
2.95460,4058.268
3.02667,3930.729
3.09873,3672.131
