X,Y
0.00000,1449.000
0.07206,1784.173
0.14413,2117.752
0.21619,2440.790
0.28825,2831.275
0.36032,3026.509
0.43238,3141.482
0.50444,3415.852
0.57651,3560.146
0.64857,3653.068
0.72063,3803.948
0.79270,3873.257
0.86476,3975.677
0.93683,4049.337
1.00889,4360.265
1.08095,4476.597
1.15302,4607.643
1.22508,4673.898
1.29714,4743.015
1.36921,4603.002
1.44127,4350.696
1.51333,4106.991
1.58540,3898.087
1.65746,3791.944
1.72952,3785.395
1.80159,3870.524
1.87365,3958.541
1.94571,4052.250
2.01778,4060.467
2.08984,4007.908
2.16190,3877.534
2.23397,3718.333
2.30603,3454.118
2.37810,3153.895
2.45016,2956.591
2.52222,2913.418
2.59429,2707.057
2.66635,2520.681
2.73841,2402.020
2.81048,2352.587
2.88254,2350.378
