X,Y
0.00000,1525.000
0.07206,1829.791
0.14413,2019.754
0.21619,2279.416
0.28825,2458.443
0.36032,2460.488
0.43238,2544.555
0.50444,2622.941
0.57651,2735.390
0.64857,2741.393
0.72063,2808.590
0.79270,2934.508
0.86476,2967.779
0.93683,3004.876
1.00889,2901.247
1.08095,3099.423
1.15302,3264.897
1.22508,3191.578
1.29714,3154.401
1.36921,3256.924
1.44127,3122.913
1.51333,3204.145
1.58540,3451.507
1.65746,3438.180
1.72952,3386.384
1.80159,3217.522
1.87365,3187.822
1.94571,3197.851
2.01778,3148.785
2.08984,3137.269
2.16190,3147.279
2.23397,3005.888
2.30603,2846.497
2.37810,2669.298
2.45016,2353.948
2.52222,2070.807
2.59429,1922.616
2.66635,1878.956
2.73841,1811.884
