X,Y
0.00000,2703.000
0.07206,3155.580
0.14413,3574.125
0.21619,4266.832
0.28825,4755.071
0.36032,4842.994
0.43238,4946.213
0.50444,5009.276
0.57651,4843.225
0.64857,5200.880
0.72063,5370.997
0.79270,5621.922
0.86476,5720.408
0.93683,5758.153
1.00889,5809.037
1.08095,5838.527
1.15302,6387.710
1.22508,6828.976
1.29714,7209.108
1.36921,7760.670
1.44127,7625.526
1.51333,7051.791
1.58540,6459.191
1.65746,5699.391
1.72952,4999.137
1.80159,4471.281
1.87365,4348.353
1.94571,4481.428
2.01778,4877.285
2.08984,5248.499
2.16190,5320.573
2.23397,4959.698
2.30603,4474.609
2.37810,3676.234
2.45016,2776.434
