X,Y
0.00000,2026.000
0.07206,2262.913
0.14413,2390.077
0.21619,2531.338
0.28825,2584.720
0.36032,2602.345
0.43238,2701.225
0.50444,2884.527
0.57651,3082.017
0.64857,3317.958
0.72063,3616.027
0.79270,3744.162
0.86476,3920.600
0.93683,4077.895
1.00889,4281.641
1.08095,4298.001
1.15302,4556.946
1.22508,4601.218
1.29714,4699.480
1.36921,4805.821
1.44127,4727.120
1.51333,4650.051
1.58540,4455.587
1.65746,4325.073
1.72952,3857.158
1.80159,3631.684
1.87365,3441.292
1.94571,3425.741
2.01778,3385.897
2.08984,3688.816
2.16190,3709.301
2.23397,3566.644
2.30603,3547.626
2.37810,3552.313
2.45016,3294.562
2.52222,3211.902
2.59429,2860.808
