X,Y
0.00000,4363.000
0.07206,4743.901
0.14413,5048.383
0.21619,5299.430
0.28825,5504.979
0.36032,5801.009
0.43238,6241.973
0.50444,6414.259
0.57651,6802.269
0.64857,7142.098
0.72063,7532.985
0.79270,7952.580
0.86476,7971.010
0.93683,8163.844
1.00889,8320.703
1.08095,8332.312
1.15302,8692.409
1.22508,8912.312
1.29714,8858.705
1.36921,8717.066
1.44127,8861.526
1.51333,8594.294
1.58540,8515.026
1.65746,8119.044
1.72952,7952.337
1.80159,7656.553
1.87365,7356.043
1.94571,6996.811
2.01778,6688.755
2.08984,6507.232
2.16190,6222.265
2.23397,6267.049
2.30603,6155.508
2.37810,5992.572
2.45016,5636.972
2.52222,5487.830
2.59429,5270.103
2.66635,5134.213
2.73841,5010.777
2.81048,4732.905
