X,Y
0.00000,2964.000
0.07206,3174.965
0.14413,3171.166
0.21619,3282.278
0.28825,3444.775
0.36032,3629.077
0.43238,3738.598
0.50444,3941.621
0.57651,4099.515
0.64857,4229.550
0.72063,4372.562
0.79270,4318.171
0.86476,4435.941
0.93683,4477.000
1.00889,4630.711
1.08095,4444.668
1.15302,4442.819
1.22508,4529.586
1.29714,4471.040
1.36921,4521.269
1.44127,4537.058
1.51333,4664.944
1.58540,4726.851
1.65746,4833.903
1.72952,4821.844
1.80159,4852.741
1.87365,4877.850
1.94571,4756.057
2.01778,4827.173
2.08984,4591.160
2.16190,4501.690
2.23397,4486.730
2.30603,4353.880
2.37810,4218.800
2.45016,4318.900
2.52222,4117.690
2.59429,3998.090
