X,Y
0.00000,2134.000
0.07206,2218.001
0.14413,2490.640
0.21619,2593.865
0.28825,2942.577
0.36032,3140.218
0.43238,3371.770
0.50444,3767.019
0.57651,4084.461
0.64857,4265.540
0.72063,4464.959
0.79270,4322.732
0.86476,4107.002
0.93683,3875.829
1.00889,3690.384
1.08095,3500.068
1.15302,3496.765
1.22508,3407.025
1.29714,3426.455
1.36921,3472.066
1.44127,3422.653
1.51333,3606.583
1.58540,3595.283
1.65746,3630.987
1.72952,3708.403
1.80159,3836.408
1.87365,3873.900
1.94571,3717.848
2.01778,3646.598
2.08984,3582.896
2.16190,3563.231
2.23397,3539.323
2.30603,3558.422
2.37810,3598.862
2.45016,3614.994
2.52222,3722.269
2.59429,3765.041
2.66635,3623.248
2.73841,3618.499
2.81048,3582.744
2.88254,3534.611
2.95460,3385.832
3.02667,3373.985
3.09873,3262.137
3.17079,3162.956
3.24286,3097.853
3.31492,2954.318
3.38698,2910.065
3.45905,2849.767
3.53111,2762.487
3.60317,2785.697
3.67524,2730.087
3.74730,2619.509
3.81937,2559.696
3.89143,2432.627
