X,Y
0.00000,1471.000
0.07206,1838.974
0.14413,2220.528
0.21619,2569.998
0.28825,3085.765
0.36032,3556.558
0.43238,3900.066
0.50444,4064.206
0.57651,4073.539
0.64857,3906.636
0.72063,3741.538
0.79270,3554.472
0.86476,3591.233
0.93683,3755.754
1.00889,4154.679
1.08095,4494.958
1.15302,4573.909
1.22508,4642.610
1.29714,4842.020
1.36921,4726.270
1.44127,4744.600
1.51333,4747.220
1.58540,4670.460
1.65746,4338.820
1.72952,4219.790
1.80159,3905.620
1.87365,3811.040
1.94571,3555.690
2.01778,3461.988
2.08984,3416.730
2.16190,3510.353
2.23397,3451.741
2.30603,3314.868
2.37810,3261.223
2.45016,3245.961
