X,Y
0.00000,3465.000
0.07206,3345.471
0.14413,3559.109
0.21619,3874.657
0.28825,3982.756
0.36032,4102.189
0.43238,4218.158
0.50444,4226.542
0.57651,4112.414
0.64857,4271.397
0.72063,4466.378
0.79270,4506.691
0.86476,4461.059
0.93683,4460.686
1.00889,4560.026
1.08095,4431.368
1.15302,4365.248
1.22508,4400.263
1.29714,4477.529
1.36921,4574.190
1.44127,4566.555
1.51333,4461.214
1.58540,4504.067
1.65746,4582.465
1.72952,4553.258
1.80159,4499.070
1.87365,4507.744
1.94571,4500.573
2.01778,4471.872
2.08984,4506.754
2.16190,4635.565
2.23397,4790.359
2.30603,4793.322
2.37810,4687.344
2.45016,4778.346
2.52222,4950.680
2.59429,4907.719
2.66635,4865.560
2.73841,4882.106
2.81048,4964.166
2.88254,5049.096
2.95460,4920.209
3.02667,4802.422
3.09873,4769.750
3.17079,4853.223
3.24286,4725.843
