X,Y
0.00000,4243.000
0.07206,4462.975
0.14413,4534.547
0.21619,4381.702
0.28825,4334.332
0.36032,4708.632
0.43238,4721.297
0.50444,4984.276
0.57651,5122.973
0.64857,4999.831
0.72063,4785.970
0.79270,4432.362
0.86476,4157.687
0.93683,3919.785
1.00889,4115.223
1.08095,4402.326
1.15302,4734.846
1.22508,4779.771
1.29714,4948.107
1.36921,4979.437
1.44127,4935.795
1.51333,4990.565
1.58540,4888.382
1.65746,4958.104
1.72952,4900.070
1.80159,4899.395
1.87365,4602.107
1.94571,4393.360
2.01778,4133.513
2.08984,3957.937
2.16190,3911.155
2.23397,3857.997
2.30603,3875.738
2.37810,3949.029
2.45016,3829.203
2.52222,3922.911
2.59429,3920.428
2.66635,3856.096
2.73841,3651.617
2.81048,3374.270
2.88254,3095.057
2.95460,2974.821
3.02667,2903.927
3.09873,2745.961
3.17079,2694.203
3.24286,2693.781
