X,Y
0.00000,7755.000
0.07206,8678.137
0.14413,9237.669
0.21619,9597.831
0.28825,9708.591
0.36032,9709.155
0.43238,10087.486
0.50444,10776.139
0.57651,11075.474
0.64857,11524.416
0.72063,11575.008
0.79270,11625.038
0.86476,11673.444
0.93683,11866.142
1.00889,11727.854
1.08095,11485.430
1.15302,11332.300
1.22508,11376.586
1.29714,11489.127
1.36921,11538.525
1.44127,11456.609
1.51333,11419.402
1.58540,11405.377
1.65746,11299.519
1.72952,10853.696
1.80159,10729.551
1.87365,10577.443
1.94571,10463.798
2.01778,10209.721
2.08984,10103.474
2.16190,9808.583
2.23397,9241.032
