X,Y
0.00000,1488.000
0.07206,1657.399
0.14413,1645.732
0.21619,1831.687
0.28825,1924.876
0.36032,2054.782
0.43238,1936.068
0.50444,1996.066
0.57651,2210.673
0.64857,2298.493
0.72063,2392.675
0.79270,2646.091
0.86476,2644.104
0.93683,2610.566
1.00889,2578.748
1.08095,2564.451
1.15302,2547.656
1.22508,2292.254
1.29714,2291.308
1.36921,2172.803
1.44127,2115.495
1.51333,2089.972
1.58540,2266.416
1.65746,2311.771
1.72952,2282.030
1.80159,2372.342
1.87365,2283.110
1.94571,2116.861
2.01778,2048.575
2.08984,2048.749
2.16190,2145.137
2.23397,2255.452
2.30603,2241.847
2.37810,2210.761
2.45016,2281.013
2.52222,2349.654
2.59429,2433.834
2.66635,2575.024
2.73841,2651.432
2.81048,2663.229
2.88254,2601.362
2.95460,2478.449
3.02667,2395.452
3.09873,2330.173
3.17079,2286.742
3.24286,2249.974
3.31492,2294.321
3.38698,2390.346
