X,Y
0.00000,1577.000
0.07206,1700.972
0.14413,1948.769
0.21619,2292.783
0.28825,2591.378
0.36032,2729.610
0.43238,2827.579
0.50444,2996.843
0.57651,3187.789
0.64857,3326.635
0.72063,3445.706
0.79270,3296.577
0.86476,3083.615
0.93683,2934.505
1.00889,3067.241
1.08095,3124.163
1.15302,3435.979
1.22508,3631.445
1.29714,3731.990
1.36921,4056.651
1.44127,3949.142
1.51333,3922.956
1.58540,3934.571
1.65746,3861.663
1.72952,3912.499
1.80159,3922.185
1.87365,3917.557
1.94571,3893.162
2.01778,3716.707
2.08984,3626.830
2.16190,3429.024
2.23397,3550.289
2.30603,3954.447
2.37810,4273.318
2.45016,4358.539
2.52222,4308.834
2.59429,4269.799
2.66635,4078.798
2.73841,3865.413
2.81048,3615.322
2.88254,3792.257
2.95460,4042.732
3.02667,4375.724
3.09873,4900.095
3.17079,5047.468
3.24286,4911.054
3.31492,4649.869
3.38698,4657.846
3.45905,4755.105
3.53111,4984.913
3.60317,4983.135
3.67524,5109.639
3.74730,5142.416
3.81937,5045.523
3.89143,5015.332
3.96349,5085.631
4.03556,5026.984
