X,Y
0.00000,1629.000
0.07206,2009.776
0.14413,2003.745
0.21619,1992.939
0.28825,1997.040
0.36032,2060.639
0.43238,1930.041
0.50444,1859.183
0.57651,1901.289
0.64857,1933.865
0.72063,2042.295
0.79270,2079.917
0.86476,2081.938
0.93683,2146.119
1.00889,2167.330
1.08095,2158.809
1.15302,2234.661
1.22508,2230.035
1.29714,2416.815
1.36921,2373.939
1.44127,2319.903
1.51333,2358.037
1.58540,2454.013
1.65746,2575.666
1.72952,2610.469
1.80159,2653.174
1.87365,2703.453
1.94571,2700.672
2.01778,2841.862
2.08984,2727.720
2.16190,2976.299
2.23397,3034.879
2.30603,2981.848
2.37810,2984.647
2.45016,3085.465
2.52222,3120.791
