X,Y
0.00000,2009.000
0.07206,2090.967
0.14413,2312.337
0.21619,2380.895
0.28825,2561.156
0.36032,2502.717
0.43238,2369.999
0.50444,2473.182
0.57651,2400.669
0.64857,2460.169
0.72063,2727.829
0.79270,2768.644
0.86476,2686.792
0.93683,2711.118
1.00889,2557.166
1.08095,2350.949
1.15302,2320.632
1.22508,2304.766
1.29714,2322.792
1.36921,2361.648
1.44127,2356.244
1.51333,2441.800
1.58540,2462.879
1.65746,2429.683
1.72952,2430.623
1.80159,2604.546
1.87365,2523.384
1.94571,2588.623
2.01778,2584.680
2.08984,2709.012
2.16190,2883.361
2.23397,2775.300
2.30603,2709.652
2.37810,2725.939
2.45016,2730.036
2.52222,2589.290
2.59429,2426.467
2.66635,2378.533
2.73841,2235.548
2.81048,2237.289
2.88254,2209.807
2.95460,2263.979
3.02667,2436.369
3.09873,2429.376
3.17079,2355.905
3.24286,2272.063
3.31492,2182.156
