X,Y
0.00000,1852.000
0.07206,2207.918
0.14413,2591.727
0.21619,2844.970
0.28825,2906.474
0.36032,2898.443
0.43238,2715.407
0.50444,2621.776
0.57651,2589.693
0.64857,2686.811
0.72063,2860.431
0.79270,2974.525
0.86476,3024.041
0.93683,3090.222
1.00889,3267.968
1.08095,3430.251
1.15302,3657.524
1.22508,3766.193
1.29714,3809.884
1.36921,3836.944
1.44127,3939.957
1.51333,3866.375
1.58540,3920.477
1.65746,3859.127
1.72952,3978.109
1.80159,4125.945
1.87365,4370.757
1.94571,4441.479
2.01778,4288.854
2.08984,4016.667
2.16190,3643.599
2.23397,3363.011
2.30603,3229.932
2.37810,3398.219
2.45016,3688.077
2.52222,4135.513
2.59429,4754.431
2.66635,5175.896
2.73841,5318.675
2.81048,5281.263
2.88254,5090.996
2.95460,4767.102
3.02667,4418.076
3.09873,4326.875
3.17079,4281.744
3.24286,4429.820
3.31492,4653.368
3.38698,4803.825
3.45905,5014.330
3.53111,5215.520
3.60317,4942.547
3.67524,4500.377
3.74730,3848.873
3.81937,4315.998
3.89143,4596.598
3.96349,4739.494
4.03556,4763.552
4.10762,4748.702
4.17968,4620.517
4.25175,4419.999
4.32381,4235.021
4.39587,4134.557
4.46794,3834.199
4.54000,3319.833
