X,Y
0.00000,1909.000
0.07206,2098.203
0.14413,2324.383
0.21619,2567.031
0.28825,2755.262
0.36032,2958.098
0.43238,3136.159
0.50444,3301.190
0.57651,3406.085
0.64857,3405.944
0.72063,3326.076
0.79270,3298.003
0.86476,3217.314
0.93683,3095.573
1.00889,2916.329
1.08095,2757.486
1.15302,2592.460
1.22508,2661.038
1.29714,2770.031
1.36921,2970.223
1.44127,3113.994
1.51333,3279.159
1.58540,3353.694
1.65746,3413.688
1.72952,3452.623
1.80159,3449.528
1.87365,3480.510
1.94571,3404.422
2.01778,3298.379
2.08984,3270.605
2.16190,3221.770
2.23397,3067.783
2.30603,2881.401
2.37810,2826.281
2.45016,2733.601
2.52222,2587.575
2.59429,2315.216
2.66635,2015.434
2.73841,1707.886
2.81048,1512.253
