X,Y
0.00000,3463.000
0.07206,3455.823
0.14413,3631.884
0.21619,3615.068
0.28825,3631.613
0.36032,3520.799
0.43238,3577.284
0.50444,3651.809
0.57651,3622.750
0.64857,3540.106
0.72063,3572.784
0.79270,3571.512
0.86476,3593.464
0.93683,3579.778
1.00889,3577.223
1.08095,3587.565
1.15302,3533.993
1.22508,3547.707
1.29714,3534.272
1.36921,3516.880
1.44127,3517.929
1.51333,3566.676
1.58540,3477.548
1.65746,3481.118
1.72952,3511.056
1.80159,3522.866
1.87365,3508.011
1.94571,3443.573
2.01778,3356.730
2.08984,3341.614
2.16190,3265.418
2.23397,3253.320
2.30603,3273.537
