X,Y
0.00000,4340.000
0.07206,4362.480
0.14413,4494.520
0.21619,4489.560
0.28825,4536.120
0.36032,4538.000
0.43238,4549.640
0.50444,4604.160
0.57651,4681.560
0.64857,4744.120
0.72063,4972.000
0.79270,5018.960
0.86476,5059.080
0.93683,4986.360
1.00889,4965.080
1.08095,4862.000
1.15302,4807.800
1.22508,4885.640
1.29714,5088.360
1.36921,5194.000
1.44127,5339.000
1.51333,5229.360
1.58540,5142.840
1.65746,5043.800
1.72952,4931.040
1.80159,4738.000
1.87365,4774.573
1.94571,4750.059
2.01778,4782.153
2.08984,4704.774
2.16190,4619.923
2.23397,4450.250
