X,Y
0.00000,4463.000
0.07206,4550.907
0.14413,4869.292
0.21619,5037.013
0.28825,5220.247
0.36032,5419.425
0.43238,5670.324
0.50444,5833.850
0.57651,5910.829
0.64857,5955.777
0.72063,5864.236
0.79270,5564.806
0.86476,5445.220
0.93683,5190.220
1.00889,5055.974
1.08095,4797.005
1.15302,4527.515
1.22508,4612.226
1.29714,4588.248
1.36921,4719.765
1.44127,4849.254
1.51333,4913.103
1.58540,5016.576
1.65746,5163.470
1.72952,5249.500
1.80159,5280.440
1.87365,5413.542
1.94571,5419.933
2.01778,5613.599
2.08984,5634.439
2.16190,5686.423
2.23397,5607.704
2.30603,5454.095
2.37810,5371.940
2.45016,5413.250
2.52222,5370.010
2.59429,5415.352
2.66635,5397.393
2.73841,5472.588
2.81048,5313.897
2.88254,5190.321
2.95460,4966.619
