X,Y
0.00000,3681.000
0.07206,3898.000
0.14413,3634.000
0.21619,3635.000
0.28825,3711.000
0.36032,3717.000
0.43238,3860.000
0.50444,3813.000
0.57651,3742.000
0.64857,3821.000
0.72063,3684.000
0.79270,3766.000
0.86476,3728.000
0.93683,3723.504
1.00889,3772.272
1.08095,3762.471
1.15302,3817.214
1.22508,3741.999
1.29714,3666.854
1.36921,3596.317
1.44127,3612.622
1.51333,3641.255
1.58540,3591.848
1.65746,3591.143
1.72952,3534.132
1.80159,3599.705
1.87365,3534.060
1.94571,3539.683
2.01778,3492.334
2.08984,3486.134
