X,Y
0.00000,3345.000
0.07206,3782.509
0.14413,4147.040
0.21619,4513.838
0.28825,4730.451
0.36032,4879.414
0.43238,4935.579
0.50444,4917.342
0.57651,4763.843
0.64857,4593.220
0.72063,4514.089
0.79270,4542.998
0.86476,4701.618
0.93683,4946.504
1.00889,5061.235
1.08095,4987.094
1.15302,5004.835
1.22508,4948.908
1.29714,4854.831
1.36921,4889.330
1.44127,4866.571
1.51333,4890.273
1.58540,4946.798
1.65746,4877.785
1.72952,5076.135
1.80159,4902.812
1.87365,4885.692
1.94571,4821.538
2.01778,4836.690
2.08984,4776.562
2.16190,4704.307
2.23397,4610.522
2.30603,4661.090
2.37810,4798.984
2.45016,4847.831
2.52222,4774.204
2.59429,4524.698
2.66635,4048.224
2.73841,3726.236
2.81048,3285.098
