X,Y
0.00000,2488.000
0.07206,2629.270
0.14413,2762.520
0.21619,2786.133
0.28825,2830.111
0.36032,2801.242
0.43238,2797.865
0.50444,2718.058
0.57651,2771.660
0.64857,2788.875
0.72063,2852.499
0.79270,2836.748
0.86476,2865.140
0.93683,2839.139
1.00889,2826.879
1.08095,2795.186
1.15302,2765.400
1.22508,2802.446
1.29714,2832.011
1.36921,2811.247
1.44127,2835.945
1.51333,2851.909
1.58540,2888.540
1.65746,2847.244
1.72952,2834.502
1.80159,2840.142
1.87365,2739.922
1.94571,2653.419
2.01778,2574.103
2.08984,2421.257
