X,Y
0.00000,2483.000
0.07206,2558.366
0.14413,2702.317
0.21619,2765.238
0.28825,2978.687
0.36032,3043.867
0.43238,3131.479
0.50444,3062.072
0.57651,2953.525
0.64857,2871.625
0.72063,2760.882
0.79270,2711.925
0.86476,2709.922
0.93683,2755.134
1.00889,2866.491
1.08095,2957.932
1.15302,3075.382
1.22508,3076.621
1.29714,3012.890
1.36921,2915.495
1.44127,3012.909
1.51333,2934.742
1.58540,2860.247
1.65746,2979.111
1.72952,2978.162
1.80159,2959.951
1.87365,3113.185
1.94571,3048.142
2.01778,3026.923
2.08984,3101.791
2.16190,3003.617
2.23397,3015.875
2.30603,3034.460
2.37810,3085.554
2.45016,3050.970
2.52222,2913.211
2.59429,2808.843
2.66635,2810.312
2.73841,2869.551
2.81048,2901.421
2.88254,3012.180
2.95460,2973.782
3.02667,2943.677
3.09873,2990.694
3.17079,2993.315
3.24286,2966.021
3.31492,3046.746
3.38698,2939.524
3.45905,3016.610
3.53111,3060.283
3.60317,3022.143
3.67524,2868.311
3.74730,2592.921
3.81937,2337.183
