X,Y
0.00000,2758.000
0.07206,3041.467
0.14413,3207.682
0.21619,3240.578
0.28825,3254.677
0.36032,3249.182
0.43238,3320.850
0.50444,3376.647
0.57651,3337.177
0.64857,3446.406
0.72063,3451.594
0.79270,3531.265
0.86476,3657.894
0.93683,3766.663
1.00889,3780.803
1.08095,3746.333
1.15302,3727.997
1.22508,3712.954
1.29714,3741.437
1.36921,3862.423
1.44127,3972.830
1.51333,4127.835
1.58540,4267.259
1.65746,4494.293
1.72952,4468.466
1.80159,4491.840
1.87365,4560.640
1.94571,4489.544
2.01778,4420.855
2.08984,4248.245
2.16190,3966.976
2.23397,3674.105
2.30603,3509.077
