X,Y
0.00000,2870.000
0.07206,2992.876
0.14413,3227.242
0.21619,3288.528
0.28825,3507.612
0.36032,3685.099
0.43238,3539.613
0.50444,3648.788
0.57651,3723.271
0.64857,3769.262
0.72063,3800.309
0.79270,3928.252
0.86476,3878.612
0.93683,3844.494
1.00889,3891.363
1.08095,3878.594
1.15302,3790.186
1.22508,3771.183
1.29714,3683.368
1.36921,3630.359
1.44127,3609.672
1.51333,3514.368
1.58540,3427.460
1.65746,3236.760
1.72952,3403.679
1.80159,3342.396
1.87365,3539.091
1.94571,3507.814
2.01778,3570.315
2.08984,3570.422
2.16190,3584.058
2.23397,3779.469
2.30603,3787.136
2.37810,3762.883
2.45016,3640.817
2.52222,3580.455
2.59429,3639.496
2.66635,3646.072
2.73841,3482.934
2.81048,3474.664
2.88254,3499.271
2.95460,3375.759
3.02667,3410.612
3.09873,3189.241
3.17079,3263.959
3.24286,3357.986
3.31492,3232.036
3.38698,3344.353
3.45905,3377.570
3.53111,3611.000
3.60317,3719.820
3.67524,3865.510
3.74730,3991.060
3.81937,4021.320
3.89143,4021.420
3.96349,3780.840
4.03556,3664.860
