X,Y
0.00000,3041.000
0.07206,3593.827
0.14413,4091.008
0.21619,4540.314
0.28825,4668.736
0.36032,4886.544
0.43238,5083.992
0.50444,5141.415
0.57651,5406.926
0.64857,5367.319
0.72063,5416.816
0.79270,5068.043
0.86476,4800.880
0.93683,4765.519
1.00889,4955.832
1.08095,5263.618
1.15302,5539.336
1.22508,5594.452
1.29714,5324.152
1.36921,5161.456
1.44127,5380.070
1.51333,5570.870
1.58540,5343.880
1.65746,5165.980
1.72952,4778.340
1.80159,4830.730
1.87365,4573.750
1.94571,4294.340
2.01778,4116.180
2.08984,3987.410
2.16190,3721.050
2.23397,3431.850
2.30603,3187.930
2.37810,3046.570
2.45016,2832.400
2.52222,2654.810
2.59429,2501.710
2.66635,2208.510
