X,Y
0.00000,3078.000
0.07206,3200.814
0.14413,3426.063
0.21619,3606.778
0.28825,3858.852
0.36032,4130.271
0.43238,4311.601
0.50444,4333.387
0.57651,4431.647
0.64857,4477.676
0.72063,4400.235
0.79270,4341.789
0.86476,4228.030
0.93683,4000.040
1.00889,3850.552
1.08095,3715.063
1.15302,3731.775
1.22508,3883.140
1.29714,3876.798
1.36921,3719.330
1.44127,3632.307
1.51333,3662.391
1.58540,3577.035
1.65746,3759.600
1.72952,4031.197
1.80159,4086.613
1.87365,3990.716
1.94571,3978.451
2.01778,3942.869
2.08984,3785.713
2.16190,3565.443
2.23397,3407.979
2.30603,3432.488
2.37810,3349.395
2.45016,3209.074
2.52222,3097.781
2.59429,3065.038
2.66635,2842.591
2.73841,2745.390
2.81048,2737.842
