X,Y
0.00000,4171.000
0.07206,3905.572
0.14413,3822.326
0.21619,3742.144
0.28825,3641.984
0.36032,3561.978
0.43238,3421.195
0.50444,3285.439
0.57651,3532.951
0.64857,3505.955
0.72063,3646.260
0.79270,3834.037
0.86476,3827.547
0.93683,3825.316
1.00889,3927.057
1.08095,4077.658
1.15302,4193.779
1.22508,4261.950
1.29714,4457.598
1.36921,4576.706
1.44127,4895.551
1.51333,4821.210
1.58540,4934.657
1.65746,5167.407
1.72952,5410.130
1.80159,5546.252
1.87365,5641.950
1.94571,5759.164
2.01778,5703.442
2.08984,5783.605
2.16190,5981.373
2.23397,6057.589
2.30603,5983.855
2.37810,6006.028
2.45016,5965.695
2.52222,5889.013
2.59429,5894.484
2.66635,5718.936
2.73841,5550.115
2.81048,5464.860
2.88254,5401.629
2.95460,5442.131
3.02667,5405.620
3.09873,5277.402
3.17079,5317.929
3.24286,5369.626
3.31492,5486.796
3.38698,5769.082
3.45905,6000.931
3.53111,6170.429
3.60317,6336.246
3.67524,6700.961
3.74730,6849.024
3.81937,6915.671
3.89143,6859.712
3.96349,6860.119
4.03556,6681.938
4.10762,6754.736
4.17968,6880.131
4.25175,6858.634
4.32381,6798.154
4.39587,6833.121
4.46794,6815.204
4.54000,7093.720
4.61206,7330.656
4.68413,7386.772
4.75619,7486.838
4.82825,7849.113
4.90032,7609.965
4.97238,7420.450
