X,Y
0.00000,3301.000
0.07206,3414.229
0.14413,3636.774
0.21619,3801.325
0.28825,3958.263
0.36032,4015.289
0.43238,4006.234
0.50444,4041.040
0.57651,3987.473
0.64857,4105.477
0.72063,3984.418
0.79270,4240.809
0.86476,4255.671
0.93683,4319.645
1.00889,4226.122
1.08095,4271.083
1.15302,4273.879
1.22508,4197.245
1.29714,4119.824
1.36921,4123.781
1.44127,4221.209
1.51333,4132.101
1.58540,4262.484
1.65746,4184.451
1.72952,4338.708
1.80159,4295.659
1.87365,4239.057
1.94571,4358.472
2.01778,4508.951
2.08984,4596.070
2.16190,4628.711
2.23397,4622.587
2.30603,4557.768
2.37810,4503.135
2.45016,4436.932
