X,Y
0.00000,4048.000
0.07206,4294.011
0.14413,4499.618
0.21619,4654.011
0.28825,4594.780
0.36032,4437.898
0.43238,4522.130
0.50444,4386.434
0.57651,4419.577
0.64857,4326.733
0.72063,4268.773
0.79270,4192.048
0.86476,4315.763
0.93683,4470.895
1.00889,4491.402
1.08095,4725.478
1.15302,4742.942
1.22508,4768.457
1.29714,4943.916
1.36921,5017.744
1.44127,5113.236
1.51333,4958.190
1.58540,4965.870
1.65746,5040.672
1.72952,5189.845
1.80159,5337.255
1.87365,5096.867
1.94571,5029.668
2.01778,5131.075
2.08984,5044.504
2.16190,4895.504
2.23397,4990.801
2.30603,4972.600
2.37810,4759.431
2.45016,4765.959
2.52222,4726.049
2.59429,4731.401
2.66635,4832.214
2.73841,5039.292
2.81048,5112.361
2.88254,5157.335
2.95460,5087.296
3.02667,4894.805
3.09873,4648.584
3.17079,4467.552
3.24286,4238.564
3.31492,4047.909
3.38698,4045.368
3.45905,3985.952
3.53111,3661.740
3.60317,3274.002
