X,Y
0.00000,4836.000
0.07206,5019.152
0.14413,5392.310
0.21619,6035.168
0.28825,6204.362
0.36032,6379.534
0.43238,6523.169
0.50444,6380.396
0.57651,6277.311
0.64857,6197.812
0.72063,6032.417
0.79270,5879.819
0.86476,6065.750
0.93683,6275.679
1.00889,6377.291
1.08095,6562.411
1.15302,6762.570
1.22508,6820.933
1.29714,6860.147
1.36921,6839.028
1.44127,7009.776
1.51333,7418.526
1.58540,7658.123
1.65746,7873.286
1.72952,7820.225
1.80159,8015.982
1.87365,8238.101
1.94571,8132.082
2.01778,7938.376
2.08984,7936.132
2.16190,7604.605
2.23397,7813.424
2.30603,7824.532
2.37810,7581.062
2.45016,7310.922
2.52222,6860.947
2.59429,6660.676
2.66635,6644.586
2.73841,6765.643
2.81048,6705.494
2.88254,6755.759
2.95460,6537.181
3.02667,6585.501
3.09873,6779.159
3.17079,6732.443
3.24286,6790.980
3.31492,6889.337
3.38698,6989.250
3.45905,7108.600
3.53111,7487.150
3.60317,7267.850
3.67524,7011.300
3.74730,6575.350
