X,Y
0.00000,3709.000
0.07206,3784.119
0.14413,4111.089
0.21619,4185.873
0.28825,4143.218
0.36032,4105.094
0.43238,4284.193
0.50444,4367.385
0.57651,4388.226
0.64857,4381.112
0.72063,4421.125
0.79270,4336.182
0.86476,4316.429
0.93683,4387.267
1.00889,4350.905
1.08095,4430.032
1.15302,4450.013
1.22508,4374.612
1.29714,4524.881
1.36921,4573.625
1.44127,4508.596
1.51333,4480.121
1.58540,4552.565
1.65746,4713.686
1.72952,4848.572
1.80159,4927.854
1.87365,4992.040
1.94571,4855.703
2.01778,4730.314
2.08984,4622.178
2.16190,4470.248
2.23397,4455.231
2.30603,4386.354
2.37810,4549.863
2.45016,4580.473
2.52222,4721.718
2.59429,4893.504
2.66635,4888.079
2.73841,4794.973
2.81048,4818.412
2.88254,4752.268
2.95460,4528.404
3.02667,4473.640
3.09873,4444.889
3.17079,4327.021
3.24286,4243.443
3.31492,4128.975
