X,Y
0.00000,3088.000
0.07206,3337.656
0.14413,3256.422
0.21619,3358.499
0.28825,3467.729
0.36032,3488.949
0.43238,3534.609
0.50444,3591.193
0.57651,3711.311
0.64857,3728.173
0.72063,3857.680
0.79270,3764.245
0.86476,3735.571
0.93683,3526.615
1.00889,3726.428
1.08095,3737.414
1.15302,3742.407
1.22508,3659.000
1.29714,3617.490
1.36921,3585.950
1.44127,3621.671
1.51333,3655.251
1.58540,3753.182
1.65746,3760.451
1.72952,3926.791
1.80159,3861.665
1.87365,3785.097
1.94571,3863.821
2.01778,3998.268
2.08984,3815.166
2.16190,3715.744
2.23397,3619.629
2.30603,3653.368
2.37810,3662.384
2.45016,3771.602
2.52222,3825.545
2.59429,3962.976
2.66635,4006.975
2.73841,3969.156
2.81048,4075.101
2.88254,4015.434
2.95460,4074.504
3.02667,4042.186
3.09873,3895.836
3.17079,3841.385
3.24286,3747.823
3.31492,3732.021
3.38698,3696.836
3.45905,3711.944
3.53111,3869.033
3.60317,3652.425
3.67524,3683.581
3.74730,3838.227
3.81937,3880.190
3.89143,3933.031
3.96349,3892.523
4.03556,3972.950
4.10762,3999.419
4.17968,4079.686
4.25175,4168.694
4.32381,4023.148
4.39587,4119.180
4.46794,4042.526
4.54000,3899.932
4.61206,3809.461
4.68413,3836.678
4.75619,3945.310
4.82825,3727.023
4.90032,3823.803
4.97238,3947.993
5.04444,3743.960
5.11651,3869.313
5.18857,3742.804
5.26063,3790.787
5.33270,3831.530
