X,Y
0.00000,2699.000
0.07206,2621.000
0.14413,2757.000
0.21619,2897.000
0.28825,2990.000
0.36032,3015.000
0.43238,3190.000
0.50444,3460.000
0.57651,3600.000
0.64857,3593.000
0.72063,3719.000
0.79270,3772.000
0.86476,3631.000
0.93683,3484.000
1.00889,3467.000
1.08095,3284.000
1.15302,3170.000
1.22508,3119.000
1.29714,3230.000
1.36921,3343.000
1.44127,3121.000
1.51333,3024.000
1.58540,3115.000
1.65746,3254.000
1.72952,3367.000
1.80159,3226.000
1.87365,3162.000
1.94571,3328.000
2.01778,3100.000
2.08984,3101.000
2.16190,3237.000
2.23397,3111.981
2.30603,3270.471
2.37810,3289.270
2.45016,3132.392
2.52222,3337.108
2.59429,3303.403
2.66635,3209.225
2.73841,3358.296
2.81048,3296.897
2.88254,3216.530
2.95460,3177.489
3.02667,3139.459
3.09873,3142.195
3.17079,3113.281
3.24286,3044.611
3.31492,2995.147
3.38698,2927.069
3.45905,2942.423
3.53111,2928.318
3.60317,2848.999
3.67524,2821.259
3.74730,2874.300
3.81937,2907.339
3.89143,2776.911
3.96349,2811.040
4.03556,2793.711
4.10762,2854.734
4.17968,2935.286
4.25175,2820.940
4.32381,2846.515
4.39587,2889.188
4.46794,2748.055
4.54000,2707.694
4.61206,2647.605
4.68413,2519.101
4.75619,2343.674
4.82825,2470.337
4.90032,2638.703
4.97238,2515.862
5.04444,2457.905
5.11651,2475.972
5.18857,2466.545
5.26063,2434.645
5.33270,2473.643
