X,Y
0.00000,5546.000
0.07206,6435.242
0.14413,7267.438
0.21619,8203.586
0.28825,8783.093
0.36032,9050.625
0.43238,9295.368
0.50444,9129.810
0.57651,8876.744
0.64857,8967.903
0.72063,8421.651
0.79270,8023.748
0.86476,7842.968
0.93683,7624.872
1.00889,7162.740
1.08095,6905.588
1.15302,6947.437
1.22508,6819.598
1.29714,6833.439
1.36921,7141.151
1.44127,7174.054
1.51333,7144.426
1.58540,7113.884
1.65746,7498.681
1.72952,7873.136
1.80159,8237.312
1.87365,8505.355
1.94571,8631.482
2.01778,8457.605
2.08984,7977.886
2.16190,7606.242
2.23397,7204.200
2.30603,6387.040
