X,Y
0.00000,4169.000
0.07206,4441.853
0.14413,4634.177
0.21619,4717.759
0.28825,4883.888
0.36032,4795.700
0.43238,4777.445
0.50444,4780.222
0.57651,4983.598
0.64857,4736.689
0.72063,4789.722
0.79270,4690.924
0.86476,4763.982
0.93683,4893.357
1.00889,4946.910
1.08095,5049.325
1.15302,5046.801
1.22508,5212.640
1.29714,5362.108
1.36921,5549.771
1.44127,5670.371
1.51333,5582.717
1.58540,5582.124
1.65746,5590.974
1.72952,5328.071
1.80159,5328.666
1.87365,4971.361
1.94571,4993.165
2.01778,4965.162
2.08984,5047.421
2.16190,4959.616
2.23397,4902.080
2.30603,4879.884
2.37810,4884.323
2.45016,4715.333
2.52222,4568.336
2.59429,4621.947
2.66635,4514.426
2.73841,4434.931
2.81048,4604.791
2.88254,4669.499
2.95460,4844.294
3.02667,4684.213
3.09873,5010.575
3.17079,4874.107
3.24286,4833.956
3.31492,4676.178
3.38698,4888.632
3.45905,4629.755
3.53111,4689.171
3.60317,4726.868
3.67524,4578.735
3.74730,4502.042
3.81937,4591.604
3.89143,4779.954
3.96349,4707.717
4.03556,4728.396
4.10762,4746.770
4.17968,4802.830
4.25175,4862.196
4.32381,4943.780
4.39587,4875.596
4.46794,4740.449
4.54000,4683.177
4.61206,4751.047
4.68413,4760.660
4.75619,4565.583
4.82825,4534.634
4.90032,4652.969
4.97238,4527.085
5.04444,4554.606
5.11651,4691.141
5.18857,4571.744
5.26063,4611.907
5.33270,4706.083
5.40476,4787.870
5.47683,4700.124
5.54889,4747.169
5.62095,4691.735
5.69302,4758.353
5.76508,4731.729
5.83714,4762.383
5.90921,4603.349
5.98127,4334.564
6.05333,4257.286
