X,Y
0.00000,5809.000
0.07206,6317.951
0.14413,6799.950
0.21619,7148.800
0.28825,7431.313
0.36032,7647.356
0.43238,7781.123
0.50444,7779.748
0.57651,7910.166
0.64857,7812.965
0.72063,7793.770
0.79270,7686.017
0.86476,7671.192
0.93683,7721.243
1.00889,7653.099
1.08095,7655.042
1.15302,7630.071
1.22508,7701.018
1.29714,7989.448
1.36921,8314.309
1.44127,8554.517
1.51333,8571.969
1.58540,8550.387
1.65746,8600.920
1.72952,8591.586
1.80159,8488.536
1.87365,8616.161
1.94571,8419.293
2.01778,8233.240
2.08984,7882.732
2.16190,7529.322
2.23397,6934.249
2.30603,6531.935
2.37810,6222.082
2.45016,6343.702
2.52222,6508.282
2.59429,6699.590
2.66635,6690.383
2.73841,6395.413
2.81048,6051.994
2.88254,5316.098
