X,Y
0.00000,3815.000
0.07206,4087.617
0.14413,4188.467
0.21619,4213.957
0.28825,4328.625
0.36032,4498.099
0.43238,4534.667
0.50444,4628.297
0.57651,4689.987
0.64857,4722.467
0.72063,4688.221
0.79270,4695.475
0.86476,4630.599
0.93683,4674.380
1.00889,4826.700
1.08095,5077.405
1.15302,5286.921
1.22508,5567.062
1.29714,5831.530
1.36921,5982.347
1.44127,6208.366
1.51333,6224.716
1.58540,5991.351
1.65746,5636.713
1.72952,5552.726
1.80159,5384.215
1.87365,5199.333
1.94571,5086.470
2.01778,4943.302
2.08984,4849.463
2.16190,4758.794
2.23397,4586.179
2.30603,4559.733
2.37810,4547.519
2.45016,4428.460
2.52222,4388.921
2.59429,4321.528
2.66635,4198.332
