X,Y
0.00000,3776.000
0.07206,4021.318
0.14413,4192.740
0.21619,4263.342
0.28825,4232.906
0.36032,4304.844
0.43238,4244.330
0.50444,4247.335
0.57651,4353.366
0.64857,4357.417
0.72063,4331.725
0.79270,4443.895
0.86476,4547.627
0.93683,4724.620
1.00889,4940.364
1.08095,5101.829
1.15302,5335.410
1.22508,5643.541
1.29714,5759.249
1.36921,5919.591
1.44127,6132.365
1.51333,6062.315
1.58540,5957.940
1.65746,5787.801
1.72952,5630.973
1.80159,5481.959
1.87365,5268.243
1.94571,5116.388
2.01778,4944.464
2.08984,4765.795
2.16190,4628.612
2.23397,4565.820
2.30603,4468.131
2.37810,4528.688
2.45016,4490.316
2.52222,4423.637
2.59429,4330.183
2.66635,4121.580
2.73841,4049.858
