X,Y
0.00000,3568.000
0.07206,3766.562
0.14413,4097.572
0.21619,4186.376
0.28825,4192.617
0.36032,4320.974
0.43238,4365.064
0.50444,4479.992
0.57651,4649.151
0.64857,4792.473
0.72063,4956.213
0.79270,4727.481
0.86476,4577.386
0.93683,4326.333
1.00889,4096.051
1.08095,4080.387
1.15302,3890.139
1.22508,3857.043
1.29714,3871.715
1.36921,3880.523
1.44127,3973.042
1.51333,4101.538
1.58540,4232.074
1.65746,4375.340
1.72952,4211.803
1.80159,4079.020
1.87365,3831.621
1.94571,3665.642
2.01778,3700.241
2.08984,3921.010
2.16190,4261.249
2.23397,4587.176
2.30603,4632.966
2.37810,4761.073
2.45016,4813.745
2.52222,4790.105
2.59429,4776.574
2.66635,4782.125
2.73841,4707.804
2.81048,4624.229
2.88254,4501.578
2.95460,4333.607
3.02667,4237.416
3.09873,3939.948
