X,Y
0.00000,8353.000
0.07206,9360.399
0.14413,10009.734
0.21619,10382.274
0.28825,10215.865
0.36032,9907.859
0.43238,9369.557
0.50444,8464.909
0.57651,7802.976
0.64857,7199.631
0.72063,6953.628
0.79270,6773.080
0.86476,6877.931
0.93683,6909.851
1.00889,6877.125
1.08095,6651.979
1.15302,6439.003
1.22508,6119.942
1.29714,5816.673
1.36921,5464.646
1.44127,5147.454
1.51333,4812.007
1.58540,4595.848
1.65746,4547.414
1.72952,4614.424
1.80159,4758.307
1.87365,5006.436
1.94571,5240.876
2.01778,5382.740
2.08984,5259.698
2.16190,4904.155
