X,Y
0.00000,4607.000
0.07206,4824.462
0.14413,4905.107
0.21619,4873.469
0.28825,4944.625
0.36032,4800.233
0.43238,4884.042
0.50444,4993.699
0.57651,4844.902
0.64857,4878.178
0.72063,4788.711
0.79270,4798.866
0.86476,4836.250
0.93683,4817.030
1.00889,4854.406
1.08095,4775.565
1.15302,4928.678
1.22508,5198.703
1.29714,5456.389
1.36921,5678.127
1.44127,5730.451
1.51333,5643.064
1.58540,5571.063
1.65746,5583.110
1.72952,5561.441
1.80159,5584.104
1.87365,5620.745
1.94571,5621.018
2.01778,5487.123
2.08984,5429.218
2.16190,5122.021
2.23397,4879.034
2.30603,4694.289
2.37810,4608.765
2.45016,4667.367
2.52222,4679.498
2.59429,4715.143
2.66635,4603.720
2.73841,4316.628
2.81048,4131.483
2.88254,4055.562
2.95460,4089.978
3.02667,4169.114
3.09873,4209.146
3.17079,4111.812
3.24286,3913.080
3.31492,3425.129
3.38698,2942.833
3.45905,2454.688
